performance_label,hook_style,niche_category,content_format_clean,day_of_week,trending_sound_used,video_duration_seconds,duration_band,post_hour,views,likes,comments,shares,saves_or_favorites,followers_gained,avg_watch_time_seconds,watch_time_percentage_num,total_hashtag_count,engagement_rate_no_saves,engagement_rate_with_saves,like_rate,comment_rate,share_rate,save_rate
Medium,Tutorial,Budget Travel,text_overlay,Monday,1,29.44,15_30,10,116867,4609,913,592,853,3,4.6,17.81,3,0.05231588044529251,0.059614775770747946,0.03943799361667537,0.007812299451513259,0.005065587377103887,0.007298895325455432
High,Question,Visa Application Tips,screen_recording,Thursday,0,37.73,30_45,10,68891,2691,427,576,734,6,7.36,18.83,5,0.05362093742288543,0.06427544962331799,0.03906170617352049,0.006198197152022761,0.008361034097342178,0.010654512200432568
Medium,Story,Visa Application Tips,screen_recording,Friday,1,12.9,under_15,19,17880,773,94,129,9,1,1.88,17.55,4,0.05570469798657718,0.05620805369127517,0.04323266219239374,0.0052572706935123045,0.007214765100671141,0.0005033557046979866
High,Question,Visa Application Tips,voiceover,Thursday,1,42.01,30_45,11,80088,3505,916,608,483,2,10.63,22.26,3,0.06279342723004695,0.06882429327739487,0.04376435920487464,0.011437418839276795,0.007591649185895515,0.006030866047347917
Medium,Tutorial,Budget Travel,voiceover,Saturday,0,14.71,under_15,9,219693,9278,1797,1197,111,12,3.96,23.88,4,0.055859767948910524,0.05636501845757489,0.042231659634125805,0.008179596072701452,0.005448512242083271,0.0005052505086643634
Medium,Question,Budget Travel,voiceover,Saturday,0,63.18,over_60,16,35152,1422,242,173,18,1,1.15,4.0,4,0.05225876194811106,0.05277082385070551,0.04045289030496131,0.006884387801547565,0.004921483841602185,0.000512061902594447
High,Question,Visa Application Tips,voiceover,Tuesday,0,33.6,30_45,15,85872,3467,909,507,554,3,10.39,29.4,4,0.05686370411775666,0.06331516675982858,0.04037404509036706,0.010585522638345444,0.005904136389044159,0.006451462642071921
Medium,Question,Visa Application Tips,voiceover,Thursday,1,87.6,over_60,22,25066,925,138,151,175,1,9.26,11.8,3,0.04843213915263704,0.055413707811377964,0.036902577196202026,0.005505465570892843,0.006024096385542169,0.006981568658740924
Medium,Statistic,Destination Guides,text_overlay,Saturday,0,46.12,45_60,12,74340,2836,670,468,103,1,4.81,10.83,3,0.05345708905030939,0.054842615012106535,0.038149044928705945,0.009012644605864945,0.006295399515738499,0.0013855259617971483
High,Statistic,Destination Guides,voiceover,Thursday,1,40.07,30_45,21,60135,2637,488,506,35,6,6.62,14.39,5,0.060380809844516506,0.06096283362434522,0.04385133449738089,0.008115074415897565,0.008414400931238047,0.0005820237798287187
Medium,Question,Budget Travel,voiceover,Sunday,0,44.85,30_45,21,163452,5744,1495,1137,789,6,10.73,23.8,4,0.05124440202628294,0.0560715072314808,0.03514181533416538,0.009146416073220273,0.006956170618897291,0.004827105205197856
Medium,Statistic,Travel Hacks,text_overlay,Sunday,1,40.97,30_45,20,93389,3563,1074,548,415,4,7.5,16.58,5,0.05552045744145456,0.059964235616614375,0.038152244911070894,0.011500283759329257,0.005867928771054407,0.004443778175159815
High,Question,Travel Hacks,screen_recording,Thursday,0,40.05,30_45,13,117899,5370,1268,667,69,3,6.31,12.78,4,0.0619598130603313,0.06254505975453566,0.045547460114165515,0.010754968235523627,0.00565738471064216,0.0005852466942043614
High,Question,Visa Application Tips,voiceover,Thursday,0,40.69,30_45,18,58614,2748,544,484,37,6,8.95,24.79,4,0.0644214692735524,0.06505271778073497,0.04688299723615518,0.00928105913263043,0.00825741290476678,0.0006312485071825844
High,Question,Travel Hacks,text_overlay,Thursday,1,46.71,45_60,13,322274,13935,3685,1555,193,32,8.28,15.44,5,0.05949905980625182,0.06009792909139428,0.04323960356715093,0.011434369511657782,0.004825086727443108,0.0005988692851424564
High,Statistic,Visa Application Tips,voiceover,Monday,0,46.35,45_60,14,19868,913,176,134,65,1,12.71,25.12,5,0.0615562713911818,0.06482786390175156,0.045953291725387556,0.008858465874773505,0.0067445137910207365,0.0032715925105697603
Medium,Story,Destination Guides,voiceover,Saturday,0,52.19,45_60,12,17472,493,72,95,118,1,6.42,9.56,4,0.03777472527472527,0.04452838827838828,0.028216575091575092,0.004120879120879121,0.005437271062271062,0.006753663003663004
Medium,Question,Budget Travel,screen_recording,Saturday,0,15.07,15_30,18,161472,5746,1686,1172,434,6,4.67,23.77,4,0.05328478002378121,0.05597255251684503,0.03558511692429647,0.010441438763376932,0.007258224336107808,0.002687772493063813
Medium,Statistic,Budget Travel,voiceover,Wednesday,0,14.55,under_15,7,14727,497,126,85,28,0,1.0,11.98,4,0.04807496435119169,0.04997623412779249,0.03374753853466422,0.008555713994703605,0.005771711821823861,0.0019012697766008012
Medium,Statistic,Visa Application Tips,voiceover,Friday,1,84.45,over_60,12,133752,5021,1075,354,873,10,12.19,13.92,5,0.04822357796518931,0.054750583168849815,0.03753962557569233,0.008037262994198218,0.002646689395298762,0.006527005203660506
High,Tutorial,Travel Hacks,voiceover,Saturday,0,22.2,15_30,21,45260,1975,395,342,472,3,2.72,7.77,5,0.059920459566946534,0.07034909412284578,0.043636765355722494,0.008727353071144498,0.00755634114007954,0.01042863455589925
Medium,Statistic,Destination Guides,voiceover,Monday,0,30.5,30_45,14,109825,4250,704,690,249,10,2.86,13.44,3,0.05139084907807876,0.053658092419758704,0.03869792852264967,0.006410198042340087,0.0062827225130890054,0.0022672433416799456
Medium,Tutorial,Destination Guides,voiceover,Thursday,1,15.98,15_30,21,164552,6425,1601,1469,93,7,2.43,9.64,4,0.05770212455637124,0.058267295444601096,0.03904540813846079,0.009729447226408674,0.008927269191501774,0.0005651708882298605
Medium,Dramatic,Travel Hacks,text_overlay,Friday,0,39.01,30_45,14,50192,1889,177,306,183,3,8.35,19.9,4,0.047258527255339494,0.050904526617787695,0.037635479757730315,0.0035264583997449794,0.0060965890978642015,0.003645999362448199
High,Tutorial,Travel Hacks,voiceover,Thursday,0,56.18,45_60,20,77157,3403,403,343,740,5,13.08,23.43,5,0.053773474862941796,0.06336430913591767,0.044104877068833676,0.005223116502715243,0.0044454812913928745,0.009590834272975881
High,Tutorial,Visa Application Tips,voiceover,Monday,0,23.84,15_30,11,109191,5502,1713,1031,83,5,6.97,25.73,4,0.07551904460990375,0.0762791805185409,0.05038876830508009,0.01568810616259582,0.009442170142227839,0.0007601359086371588
Medium,Statistic,Destination Guides,voiceover,Tuesday,1,47.34,45_60,12,70255,2358,550,499,188,2,12.33,25.51,3,0.04849476905558323,0.05117073517899082,0.033563447441463244,0.007828624297203046,0.007102697316916946,0.0026759661234075868
Medium,Story,Travel Hacks,text_overlay,Sunday,0,10.44,under_15,12,32107,1221,218,153,71,1,1.62,21.08,5,0.049584202821814555,0.051795558600928146,0.03802909022954496,0.006789796617560033,0.004765315974709565,0.002211355779113589
Medium,Question,Visa Application Tips,voiceover,Sunday,1,48.94,45_60,10,1006773,41049,12914,3314,892,58,12.95,24.93,3,0.0568916727007975,0.057777671828704184,0.04077284551731125,0.01282712190334862,0.0032917052801376277,0.000885999127906688
Medium,Story,Visa Application Tips,voiceover,Wednesday,1,71.77,over_60,15,306579,10871,2643,1810,1659,29,3.85,4.0,3,0.04998385408002505,0.05539518362314444,0.03545904970660091,0.008620942726018417,0.005903861647405726,0.005411329543119392
Medium,Dramatic,Visa Application Tips,screen_recording,Tuesday,1,75.26,over_60,22,102022,3515,668,388,139,5,14.93,18.35,4,0.04480406186900864,0.046166513105016564,0.034453353198329775,0.006547607378800651,0.0038031012918782223,0.0013624512360079198
High,Tutorial,Visa Application Tips,text_overlay,Wednesday,1,33.47,30_45,9,549494,25887,8052,3604,1096,48,4.46,17.59,4,0.06832285702846619,0.07031741929848187,0.04711061449260592,0.01465348120270649,0.006558761333153774,0.001994562270015687
Medium,Story,Budget Travel,voiceover,Tuesday,0,37.31,30_45,15,347723,14062,3578,1815,195,26,5.64,14.42,4,0.05594970709444012,0.05651049829893335,0.04044023547478884,0.010289799639368118,0.005219671980283156,0.0005607912044932316
Medium,Question,Destination Guides,voiceover,Tuesday,0,36.38,30_45,21,114369,4661,987,253,890,3,11.01,28.1,5,0.05159614930619311,0.0593779782983151,0.04075405048570854,0.008629960915982478,0.002212137904502094,0.0077818289921219915
Medium,Tutorial,Destination Guides,text_overlay,Saturday,0,7.21,under_15,15,46433,1804,346,213,283,4,1.99,38.42,5,0.05089053044171171,0.05698533370663106,0.03885167876294877,0.007451596924601038,0.004587254754161911,0.006094803264919346
High,Question,Travel Hacks,voiceover,Friday,1,38.58,30_45,16,189176,8460,2370,1651,124,15,8.27,23.18,5,0.06597559944178966,0.06663107370913858,0.04472026049816044,0.012528016238846366,0.008727322704782848,0.0006554742673489238
High,Tutorial,Travel Hacks,voiceover,Tuesday,1,49.37,45_60,15,219055,9114,1578,1466,2160,7,14.0,26.52,5,0.055502042865946906,0.06536258017392892,0.04160598936340189,0.007203670311109082,0.0066923831914359405,0.009860537307982014
Medium,Story,Visa Application Tips,voiceover,Tuesday,1,24.18,15_30,20,82516,3132,567,261,612,8,5.97,19.77,4,0.04799069271414029,0.05540743613359833,0.03795627514663823,0.006871394638615541,0.003163022928886519,0.007416743419458045
High,Statistic,Travel Hacks,text_overlay,Tuesday,0,36.04,30_45,14,145644,7386,1150,1231,92,12,8.51,21.58,4,0.06706077833621708,0.06769245557661147,0.050712696712531924,0.007895965504929828,0.00845211611875532,0.0006316772403943863
High,Statistic,Travel Hacks,screen_recording,Wednesday,0,47.76,45_60,14,181414,6888,1431,1352,1215,8,6.51,10.67,4,0.05330900592016052,0.060006394214338475,0.03796840376156195,0.007888035102031817,0.007452567056566748,0.0066973882941779575
High,Tutorial,Visa Application Tips,voiceover,Wednesday,1,41.8,30_45,14,127254,6140,1099,582,1429,14,10.96,27.75,3,0.06145975765005422,0.0726892671350213,0.048249956779354675,0.008636270765555502,0.004573530105144043,0.011229509484967074
High,Statistic,Visa Application Tips,text_overlay,Saturday,0,38.25,30_45,17,36405,1536,357,206,198,1,4.36,11.92,5,0.05765691525889301,0.0630957286087076,0.04219200659250103,0.00980634528224145,0.005658563384150528,0.005438813349814586
High,Tutorial,Visa Application Tips,text_overlay,Monday,0,79.37,over_60,12,47166,1877,487,293,463,4,16.32,21.51,3,0.05633295170249756,0.06614934486706527,0.039795615485731246,0.010325234278929738,0.006212101937836577,0.009816393164567698
Medium,Question,Budget Travel,voiceover,Tuesday,1,52.23,45_60,9,94552,3177,678,754,71,3,10.27,21.2,4,0.04874566376173957,0.049496573314155176,0.033600558422878415,0.007170657416025045,0.007974447922836112,0.000750909552415602
Medium,Tutorial,Budget Travel,voiceover,Friday,1,45.14,45_60,22,51839,2190,427,405,45,4,3.22,4.89,4,0.05829587762109609,0.059163949921873495,0.04224618530450047,0.00823704160959895,0.007812650706996663,0.000868072300777407
Medium,Dramatic,Travel Hacks,voiceover,Tuesday,1,31.56,30_45,8,86733,3072,625,430,347,6,5.25,13.05,4,0.047582811617262175,0.05158359563257353,0.03541904465428384,0.0072060230823331375,0.004957743880645199,0.0040007840153113575
High,Tutorial,Budget Travel,voiceover,Monday,1,54.25,45_60,11,161333,7827,1157,1096,134,7,10.41,17.9,4,0.062479467932784985,0.06331004816125653,0.048514563046617866,0.007171502420459546,0.006793402465707574,0.0008305802284715464
High,Statistic,Visa Application Tips,text_overlay,Friday,0,48.67,45_60,11,54044,2506,278,278,272,3,1.19,4.0,4,0.056657538302124194,0.06169047442824365,0.046369624750203536,0.005143956775960329,0.005143956775960329,0.005032936126119459
High,Tutorial,Destination Guides,voiceover,Monday,1,41.94,30_45,11,286986,12930,1524,1724,1145,13,5.15,14.89,4,0.056372087837037343,0.060361829496909256,0.045054462587025154,0.0053103635717421755,0.00600726167827002,0.00398974165987191
Medium,Tutorial,Destination Guides,text_overlay,Saturday,1,28.22,15_30,17,242147,10208,1710,1591,294,11,5.49,14.98,5,0.05578842603872854,0.05700256455789252,0.042156210896686724,0.007061826080851714,0.006570389061190104,0.001214138519163979
Medium,Story,Travel Hacks,text_overlay,Friday,0,24.16,15_30,10,47212,1750,290,237,126,4,3.9,18.84,3,0.04822926374650512,0.050898076760145725,0.037066847411675,0.006142506142506142,0.0050199101923239856,0.0026688130136406
Medium,Story,Travel Hacks,voiceover,Tuesday,1,12.95,under_15,19,84053,2742,303,312,646,5,2.05,22.72,4,0.03993908605284761,0.04762471297871581,0.03262227404137866,0.00360486835687007,0.003711943654598884,0.0076856269258682025
Medium,Story,Travel Hacks,screen_recording,Monday,1,10.31,under_15,9,11202,387,112,56,5,1,1.03,11.47,4,0.04954472415640064,0.04999107302267452,0.034547402249598284,0.009998214604534905,0.004999107302267452,0.00044634886627387967
High,Tutorial,Visa Application Tips,text_overlay,Tuesday,0,21.44,15_30,19,40112,2265,351,396,30,2,4.54,25.97,4,0.07508974870362983,0.07583765456721181,0.056466892700438774,0.008750498603909055,0.00987235739928201,0.0007479058635819705
High,Story,Visa Application Tips,text_overlay,Thursday,0,39.18,30_45,22,108908,5254,968,709,66,11,7.35,15.88,4,0.06364087119403533,0.06424688728100782,0.04824255334777978,0.008888235942263194,0.00651008190399236,0.0006060160869724905
High,Statistic,Budget Travel,voiceover,Saturday,1,44.88,30_45,9,71496,2977,439,321,662,5,11.38,25.23,4,0.05226865838648316,0.06152791764574242,0.04163869307373839,0.006140203647756518,0.004489761664988251,0.009259259259259259
High,Question,Budget Travel,text_overlay,Friday,1,44.86,30_45,8,343638,17058,3348,1242,543,9,8.9,21.18,4,0.06299652541337104,0.06457667661900023,0.049639446161367486,0.009742810748520245,0.0036142685034833166,0.0015801512056291796
Medium,Tutorial,Destination Guides,voiceover,Thursday,1,47.59,45_60,14,193058,8054,1177,1345,946,12,9.82,23.51,5,0.054781464637570054,0.05968154647826042,0.0417180329227486,0.006096613452951962,0.00696681826186949,0.0049000818406903625
Medium,Dramatic,Travel Hacks,voiceover,Sunday,0,32.39,30_45,13,131795,5171,1269,808,68,10,4.48,9.44,3,0.05499449903258849,0.05551045183808187,0.039235175841268635,0.009628589855457339,0.006130733335862513,0.0005159528054933799
Medium,Statistic,Travel Hacks,voiceover,Sunday,0,12.46,under_15,22,21285,737,142,124,111,2,3.18,28.95,3,0.04712238665727038,0.052337326755931404,0.03462532299741602,0.0066713648108996946,0.005825698848954663,0.0052149400986610285
Medium,Statistic,Budget Travel,text_overlay,Saturday,0,37.47,30_45,15,71018,2960,521,465,39,6,7.03,17.43,5,0.055563378298459545,0.05611253485031964,0.04167957419245825,0.007336168295361739,0.006547635810639556,0.0005491565518600918
Medium,Dramatic,Visa Application Tips,screen_recording,Thursday,1,30.34,30_45,16,163918,5582,1331,611,961,9,9.77,29.62,5,0.04590099928012787,0.051763686721409484,0.034053612171939626,0.008119913615344258,0.003727473492843983,0.005862687441281616
Medium,Dramatic,Visa Application Tips,screen_recording,Friday,1,9.61,under_15,11,13826,532,99,64,7,1,1.44,19.23,3,0.050267611745985825,0.05077390423839143,0.03847822942282656,0.007160422392593664,0.004628959930565601,0.0005062924924056126
Medium,Dramatic,Visa Application Tips,voiceover,Tuesday,0,37.76,30_45,15,29775,1193,283,58,178,1,8.93,22.13,3,0.051519731318219984,0.057497900923593616,0.0400671704450042,0.009504617968094039,0.0019479429051217465,0.005978169605373636
Medium,Statistic,Visa Application Tips,voiceover,Monday,1,50.6,45_60,10,86815,3500,728,477,427,6,9.48,20.81,5,0.054195703507458386,0.059114208374128896,0.04031561366123366,0.008385647641536601,0.00549444220468813,0.004918504866670506
High,Question,Visa Application Tips,text_overlay,Sunday,1,43.98,30_45,21,329257,16823,2499,2279,204,29,13.05,31.56,3,0.06560528705540049,0.06622486386014573,0.051093826403083305,0.007589815858129061,0.006921644794188127,0.0006195768047452294
High,Tutorial,Budget Travel,text_overlay,Tuesday,1,41.26,30_45,13,127056,5596,1446,833,1418,5,12.04,31.53,5,0.061980544012089155,0.0731409772069009,0.04404357133862234,0.011380808462410276,0.006556164211056542,0.011160433194811737
Medium,Question,Destination Guides,text_overlay,Friday,1,54.09,45_60,8,62113,2343,360,544,33,6,10.44,21.31,3,0.05227569107916217,0.05280698082527007,0.03772157197366091,0.005795888139358911,0.008758230966142354,0.0005312897461079001
High,Tutorial,Visa Application Tips,voiceover,Tuesday,0,51.52,45_60,22,135419,5748,965,1163,1438,12,5.29,12.16,4,0.058160228623752946,0.0687791225751187,0.042446037852886226,0.007126031059157135,0.008588159711709583,0.010618893951365761
High,Question,Visa Application Tips,voiceover,Sunday,0,38.55,30_45,8,56029,2911,610,363,260,2,9.88,28.11,5,0.06932124435560157,0.07396169840618251,0.05195523746631209,0.010887219118670688,0.006478787770618786,0.004640454050580949
High,Tutorial,Destination Guides,text_overlay,Thursday,0,23.27,15_30,21,95971,4346,438,667,353,8,2.91,17.44,5,0.05679840785237207,0.06047660230694689,0.0452845130299778,0.004563878671682071,0.006950016150712194,0.0036781944545748193
Medium,Statistic,Budget Travel,voiceover,Thursday,1,53.59,45_60,16,35940,1206,235,141,280,1,11.28,23.33,4,0.04401780745687257,0.05180856983861992,0.0335559265442404,0.0065386755703951025,0.0039232053422370615,0.0077907623817473565
High,Question,Visa Application Tips,voiceover,Thursday,0,15.77,15_30,22,63240,3216,542,367,240,3,1.3,10.37,5,0.06522770398481974,0.06902277039848197,0.05085388994307401,0.008570524984187223,0.005803289057558507,0.003795066413662239
Medium,Dramatic,Destination Guides,voiceover,Tuesday,0,25.8,15_30,14,89223,2997,507,421,338,7,5.69,17.05,4,0.04399089920760342,0.047779160082041625,0.03358999361151273,0.005682391311657308,0.004718514284433386,0.0037882608744382053
Medium,Question,Destination Guides,text_overlay,Sunday,0,55.92,45_60,17,58426,1921,365,271,156,3,20.4,36.77,4,0.043764762263375896,0.046434806421798515,0.03287919761749906,0.006247218704001643,0.004638345941875193,0.00267004415842262
Medium,Dramatic,Budget Travel,voiceover,Monday,1,23.73,15_30,13,132058,3273,978,622,785,6,4.84,22.51,4,0.036900452831331684,0.0428448106135183,0.024784564358085084,0.007405836829271987,0.004710051643974617,0.005944357782186615
Medium,Dramatic,Destination Guides,voiceover,Thursday,0,67.52,over_60,21,31620,794,184,139,25,1,8.87,13.02,5,0.03532574320050601,0.03611638203668564,0.02511068943706515,0.0058191018342821,0.00439595192915876,0.0007906388361796331
Medium,Story,Budget Travel,voiceover,Thursday,1,62.74,over_60,8,18735,715,118,97,9,1,4.69,6.3,3,0.049639711769415534,0.05012009607686149,0.03816386442487323,0.0062983720309581,0.005177475313584201,0.00048038430744595676
High,Tutorial,Visa Application Tips,text_overlay,Sunday,1,36.45,30_45,19,150444,8362,1695,962,98,14,14.51,37.51,3,0.07324320012762224,0.07389460530164048,0.055582143521842015,0.011266650713886895,0.006394405891893329,0.0006514051740182394
Medium,Story,Destination Guides,text_overlay,Sunday,1,34.86,30_45,15,159282,6953,1481,565,263,15,6.21,16.75,5,0.056497281550959934,0.05814844112956894,0.04365213897364423,0.00929797466129255,0.003547167916023154,0.0016511595786090078
Medium,Question,Budget Travel,voiceover,Tuesday,0,32.04,30_45,8,56031,2209,493,215,321,2,1.98,9.67,4,0.052060466527458014,0.057789437989684285,0.03942460423694027,0.008798700719244703,0.0038371615712730453,0.005728971462226268
High,Tutorial,Travel Hacks,voiceover,Saturday,1,36.68,30_45,21,276454,13622,3453,2107,194,25,5.84,12.47,4,0.06938586527957635,0.07008760951188986,0.04927402027100349,0.012490323887518357,0.007621521121054497,0.0007017442323135133
High,Story,Visa Application Tips,voiceover,Wednesday,1,38.07,30_45,10,172883,8656,1363,1536,167,14,12.0,32.73,3,0.06683710949023328,0.06780308069619338,0.05006854346581214,0.007883944633075549,0.008884621391345592,0.0009659712059601001
Medium,Statistic,Travel Hacks,voiceover,Monday,0,15.83,15_30,16,54530,1963,384,266,472,2,1.82,19.36,5,0.047918576930130206,0.056574362736108566,0.03599853291766,0.007041995231982395,0.004878048780487805,0.008655785805978361
Medium,Question,Destination Guides,screen_recording,Saturday,1,32.0,30_45,7,248634,9117,1287,1798,2208,21,6.26,22.04,3,0.049076152095047336,0.057956675273695475,0.036668355896619126,0.005176283211467458,0.007231512986960753,0.008880523178648134
Medium,Story,Destination Guides,text_overlay,Wednesday,0,44.53,30_45,18,309853,10695,2987,1826,476,23,3.03,4.23,5,0.050049539620400645,0.05158575195334562,0.034516367438753214,0.009640055122913124,0.005893117058734303,0.001536212332944977
Medium,Statistic,Travel Hacks,text_overlay,Saturday,0,81.16,over_60,8,102016,3942,565,506,398,3,13.89,17.23,4,0.04913935069008783,0.05304069949811794,0.03864099749058971,0.005538346925972396,0.0049600062735257215,0.003901348808030113
High,Dramatic,Visa Application Tips,text_overlay,Sunday,1,36.67,30_45,18,106291,5045,779,671,64,6,5.92,19.19,3,0.06110583210243577,0.061707952695900875,0.04746403740674187,0.007328936598583135,0.006312858097110762,0.0006021205934651099
High,Question,Visa Application Tips,voiceover,Tuesday,0,34.51,30_45,16,66048,2999,343,401,595,4,3.17,13.2,5,0.05667090600775194,0.06567950581395349,0.04540637112403101,0.005193192829457364,0.006071342054263566,0.00900859980620155
Medium,Story,Destination Guides,text_overlay,Saturday,1,32.64,30_45,17,239147,9064,1696,916,314,11,11.27,30.76,3,0.04882352695204205,0.05013652690604523,0.03790137446842319,0.00709187236302358,0.0038302801205952826,0.0013129999540031864
Medium,Story,Destination Guides,voiceover,Monday,1,69.41,over_60,15,145462,4076,966,505,619,7,18.67,26.64,4,0.03813367064937922,0.042389077559775064,0.028021063920474074,0.006640909653380264,0.0034716970755248795,0.004255406910395842
Medium,Question,Travel Hacks,voiceover,Thursday,1,7.39,under_15,11,20984,742,136,88,168,2,1.96,16.76,3,0.04603507434235608,0.05404117422798323,0.035360274494853225,0.006481128478841022,0.0041936713686618375,0.008006099885627144
High,Tutorial,Destination Guides,voiceover,Tuesday,0,44.72,30_45,8,150600,5980,1131,1200,1517,14,17.45,37.03,4,0.0551859229747676,0.0652589641434263,0.039707835325365204,0.00750996015936255,0.00796812749003984,0.010073041168658698
High,Question,Visa Application Tips,text_overlay,Wednesday,1,53.17,45_60,17,38095,1638,188,258,326,2,8.15,17.82,3,0.054705341908386926,0.06326289539309621,0.0429977687360546,0.004935030843942775,0.006772542328389553,0.008557553484709279
Medium,Question,Budget Travel,voiceover,Sunday,1,11.62,under_15,12,123397,5058,680,817,480,9,1.66,24.54,3,0.05312122661004724,0.05701111048080586,0.040989651288118836,0.005510668816908029,0.006620906505020382,0.0038898838707586082
High,Tutorial,Budget Travel,voiceover,Friday,0,41.37,30_45,12,83907,3957,903,375,708,6,9.67,24.29,5,0.06239050377203332,0.07082841717615931,0.04715935500017877,0.010761914977296292,0.004469233794558261,0.008437913404125997
High,Tutorial,Travel Hacks,voiceover,Sunday,1,47.15,45_60,21,65456,2861,617,118,334,5,10.51,22.92,3,0.05493766805182107,0.060040332437056955,0.0437087509166463,0.009426179418235151,0.0018027377169396236,0.005102664385235884
High,Question,Destination Guides,text_overlay,Sunday,1,34.88,30_45,8,182649,7548,2273,1736,102,4,5.67,14.82,4,0.06327436777644553,0.06383281594752777,0.04132516466008574,0.012444634243822852,0.009504568872536942,0.0005584481710822398
Medium,Story,Destination Guides,voiceover,Tuesday,0,45.25,45_60,15,31320,1092,291,133,14,1,4.11,9.29,3,0.048403575989782885,0.04885057471264368,0.03486590038314176,0.0092911877394636,0.004246487867177523,0.00044699872286079183
Medium,Question,Destination Guides,voiceover,Tuesday,0,12.73,under_15,14,40008,1270,247,229,17,1,1.76,5.42,5,0.04364127174565087,0.04406618676264747,0.03174365126974605,0.00617376524695061,0.005723855228954209,0.0004249150169966007
Medium,Dramatic,Budget Travel,voiceover,Saturday,0,22.89,15_30,18,146137,4266,997,787,61,8,4.59,17.89,4,0.041399508680211035,0.04181692521401151,0.029191785790046325,0.00682236531473891,0.005385357575425799,0.0004174165338004749
High,Tutorial,Destination Guides,voiceover,Thursday,0,55.54,45_60,10,111624,4478,846,618,1001,7,9.4,16.69,3,0.053232279796459545,0.06219988532931986,0.04011682075539311,0.007579015265534294,0.005536443775532144,0.008967605532860317
Medium,Statistic,Destination Guides,voiceover,Saturday,1,35.92,30_45,16,325415,13855,2453,1828,749,20,11.44,31.51,3,0.05573191155908609,0.058033587880091574,0.04257640243996128,0.007538066776270301,0.005617442342854509,0.002301676321005485
High,Question,Visa Application Tips,voiceover,Tuesday,1,31.97,30_45,17,305839,13361,3157,2459,966,16,6.81,22.1,5,0.0620489865582872,0.06520751114148293,0.04368638401250331,0.010322424543632434,0.008040178002151458,0.0031585245831957337
High,Tutorial,Budget Travel,voiceover,Thursday,0,28.42,15_30,12,127416,6586,1515,755,88,5,4.81,16.5,3,0.06950461480504803,0.07019526590067182,0.05168895586111635,0.011890186475795818,0.00592547246813587,0.0006906510956237835
High,Statistic,Visa Application Tips,text_overlay,Wednesday,1,28.21,15_30,15,195375,9373,1369,1389,112,15,5.05,17.1,4,0.06209085092770313,0.06266410748560461,0.0479744081893794,0.007007037747920665,0.007109404990403071,0.0005732565579014715
Medium,Question,Destination Guides,voiceover,Wednesday,0,24.54,15_30,19,121385,4897,1281,755,68,9,5.6,23.21,3,0.05711578860649998,0.05767598961980475,0.04034271120813939,0.010553198500638464,0.006219878897722124,0.000560201013304774
High,Question,Destination Guides,text_overlay,Monday,0,44.38,30_45,20,46848,1742,584,203,463,4,13.97,31.21,3,0.053983094262295084,0.06386612021857924,0.03718408469945355,0.012465846994535519,0.0043331625683060105,0.009883025956284153
High,Tutorial,Visa Application Tips,screen_recording,Thursday,0,37.04,30_45,22,152786,7855,1965,1489,113,10,8.85,20.34,4,0.07401856191012265,0.07475815847001689,0.051411778566098985,0.012861126019399684,0.009745657324623984,0.0007395965598942312
High,Tutorial,Travel Hacks,voiceover,Sunday,1,31.06,30_45,9,96446,4468,923,723,850,5,6.53,23.15,4,0.06339298674906164,0.07220620865562076,0.04632644173941895,0.009570122140887129,0.007496422868755573,0.00881322190655911
Medium,Story,Budget Travel,voiceover,Monday,1,87.17,over_60,17,128940,4085,741,890,694,12,16.67,20.72,4,0.04433069644796029,0.04971304482705134,0.03168140220257484,0.0057468590041879946,0.006902435241197456,0.00538234837909105
High,Tutorial,Travel Hacks,voiceover,Monday,0,33.03,30_45,20,40388,1922,247,364,226,3,7.15,19.07,3,0.06271664850945825,0.06831237001089432,0.047588392591858965,0.006115677924135882,0.009012577993463404,0.00559572150143607
High,Question,Travel Hacks,voiceover,Saturday,0,50.53,45_60,22,74048,3127,521,270,633,2,9.09,18.18,5,0.052911624891961974,0.06146013396715644,0.04222936473638721,0.0070359766637856525,0.0036462834917891096,0.008548509075194468
Medium,Dramatic,Destination Guides,voiceover,Saturday,1,13.89,under_15,18,107085,2539,467,331,593,9,1.97,18.83,3,0.031162160900219452,0.036699817901666903,0.023710136807209226,0.00436102161834057,0.003091002474669655,0.005537657001447449
High,Question,Visa Application Tips,text_overlay,Monday,1,46.7,45_60,12,83155,3956,927,474,93,9,11.0,24.98,3,0.06442186278636282,0.06554025614815706,0.047573807949010886,0.011147856412723228,0.0057001984246287055,0.0011183933617942396
Medium,Dramatic,Travel Hacks,voiceover,Tuesday,1,48.41,45_60,11,318237,10592,1871,1379,181,17,7.74,15.93,4,0.043495885142205336,0.04406464364608766,0.03328337056973262,0.00587926608156814,0.004333248490904577,0.0005687585038823266
High,Tutorial,Travel Hacks,voiceover,Friday,1,38.34,30_45,10,87616,4756,449,785,468,3,6.96,20.38,5,0.06836650840029218,0.07370799853907962,0.054282322863403946,0.00512463476990504,0.0089595507669832,0.005341490138787436
Medium,Question,Destination Guides,voiceover,Wednesday,0,33.14,30_45,8,57102,2425,392,323,30,2,7.68,26.79,3,0.054989317361913766,0.05551469300549893,0.042467864523134044,0.006864908409512802,0.005656544429266926,0.0005253756435851634
